##### Z-Curve Predictions #####
# Format = (NB,DT,SVM,PLS)
# Rows are the training sets and columns are the testing sets

# Correct Rate
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
COD1      	(79.37, 65.72, 80.28, 78.64)	(88.40, 68.81, 90.42, 86.30)	(81.26, 63.89, 83.98, 77.50)	(77.62, 61.46, 81.45, 73.75)	(79.93, 76.95, 90.29, 77.71)	(84.15, 67.05, 87.05, 81.53)	(67.60, 55.35, 73.31, 56.29)	
COD2      	(64.41, 59.45, 71.86, 68.25)	(85.92, 75.73, 84.59, 84.22)	(80.08, 70.85, 84.46, 81.42)	(74.32, 68.53, 80.00, 77.94)	(70.85, 63.77, 77.75, 74.40)	(84.44, 81.57, 91.26, 85.48)	(56.11, 56.50, 63.83, 56.09)	
NCOD      	(62.31, 54.97, 64.15, 64.80)	(83.74, 70.88, 85.07, 85.10)	(83.81, 70.62, 84.54, 83.75)	(79.15, 68.71, 80.93, 80.04)	(73.38, 72.01, 80.27, 75.16)	(85.59, 81.10, 91.42, 86.44)	(60.48, 58.59, 59.66, 57.85)	
RAND      	(63.32, 55.72, 69.85, 60.97)	(84.39, 71.85, 86.64, 81.85)	(84.85, 72.34, 87.99, 82.42)	(81.77, 69.27, 81.10, 81.59)	(73.13, 62.14, 78.71, 70.68)	(84.86, 71.75, 87.81, 82.32)	(67.96, 60.95, 70.69, 57.27)	
MIX1      	(72.88, 76.44, 86.55, 72.14)	(88.64, 72.49, 89.81, 87.17)	(86.24, 81.86, 92.01, 84.29)	(82.31, 69.09, 84.31, 79.95)	(79.60, 67.24, 80.33, 79.11)	(87.90, 77.17, 90.64, 85.56)	(66.59, 62.38, 68.91, 56.33)	
MIX2      	(64.82, 57.86, 69.35, 65.63)	(86.69, 83.67, 92.34, 87.36)	(84.15, 82.80, 90.63, 83.93)	(78.16, 70.38, 80.06, 79.03)	(73.47, 69.00, 79.41, 73.53)	(85.38, 71.01, 84.71, 84.23)	(61.65, 61.22, 65.80, 56.83)	
CTRL      	(49.31, 49.05, 63.84, 22.72)	(65.81, 57.25, 75.25, 26.62)	(68.77, 60.56, 78.92, 27.70)	(65.65, 59.42, 78.65, 28.48)	(56.35, 54.09, 70.47, 23.55)	(65.64, 58.60, 75.76, 29.03)	(86.21, 73.95, 83.87, 75.43)	

# Sensitivity
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
COD1      	(79.80, 64.53, 75.25, 80.91)	(79.80, 64.53, 75.25, 80.91)	(79.80, 64.53, 75.25, 80.91)	(79.80, 64.53, 75.25, 80.91)	(79.80, 64.53, 75.25, 80.91)	(79.80, 64.53, 75.25, 80.91)	(79.80, 64.53, 75.25, 80.91)	
COD2      	(84.73, 75.62, 78.33, 78.69)	(84.73, 75.62, 78.33, 78.69)	(84.73, 75.62, 78.33, 78.69)	(84.73, 75.62, 78.33, 78.69)	(84.73, 75.62, 78.33, 78.69)	(84.73, 75.62, 78.33, 78.69)	(84.73, 75.62, 78.33, 78.69)	
NCOD      	(82.51, 70.20, 82.88, 80.17)	(82.51, 70.20, 82.88, 80.17)	(82.51, 70.20, 82.88, 80.17)	(82.51, 70.20, 82.88, 80.17)	(82.51, 70.20, 82.88, 80.17)	(82.51, 70.20, 82.88, 80.17)	(82.51, 70.20, 82.88, 80.17)	
RAND      	(81.90, 69.33, 77.34, 84.24)	(81.90, 69.33, 77.34, 84.24)	(81.90, 69.33, 77.34, 84.24)	(81.90, 69.33, 77.34, 84.24)	(81.90, 69.33, 77.34, 84.24)	(81.90, 69.33, 77.34, 84.24)	(81.90, 69.33, 77.34, 84.24)	
MIX1      	(79.93, 64.16, 77.22, 81.03)	(79.93, 64.16, 77.22, 81.03)	(79.93, 64.16, 77.22, 81.03)	(79.93, 64.16, 77.22, 81.03)	(79.93, 64.16, 77.22, 81.03)	(79.93, 64.16, 77.22, 81.03)	(79.93, 64.16, 77.22, 81.03)	
MIX2      	(83.50, 71.67, 79.80, 81.77)	(83.50, 71.67, 79.80, 81.77)	(83.50, 71.67, 79.80, 81.77)	(83.50, 71.67, 79.80, 81.77)	(83.50, 71.67, 79.80, 81.77)	(83.50, 71.67, 79.80, 81.77)	(83.50, 71.67, 79.80, 81.77)	
CTRL      	(83.99, 75.37, 71.67, 96.43)	(83.99, 75.37, 71.67, 96.43)	(83.99, 75.37, 71.67, 96.43)	(83.99, 75.37, 71.67, 96.43)	(83.99, 75.37, 71.67, 96.43)	(83.99, 75.37, 71.67, 96.43)	(83.99, 75.37, 71.67, 96.43)	

# Specificity
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
