##### Z-Curve Predictions #####
# Format = (NB,DT,SVM,PLS)
# Rows are the training sets and columns are the testing sets

# Correct Rate
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
COD1      	(78.95, 66.87, 85.17, 76.44)	(89.23, 69.22, 91.89, 86.82)	(81.41, 63.83, 84.84, 77.16)	(77.40, 61.16, 82.07, 73.03)	(79.94, 78.17, 91.76, 77.40)	(84.58, 67.30, 88.20, 81.59)	(66.38, 54.43, 73.12, 53.83)	
COD2      	(62.44, 57.88, 71.23, 67.24)	(87.08, 75.84, 90.67, 89.59)	(79.62, 70.38, 85.07, 81.68)	(73.28, 67.82, 80.17, 77.87)	(69.49, 62.61, 77.70, 73.98)	(84.41, 82.16, 92.53, 86.14)	(53.25, 54.59, 62.38, 53.83)	
NCOD      	(60.35, 53.49, 62.33, 63.30)	(83.86, 70.94, 85.29, 85.57)	(85.09, 71.03, 86.18, 87.27)	(78.82, 68.56, 80.74, 80.02)	(72.48, 72.19, 80.01, 74.67)	(85.89, 82.17, 92.25, 87.05)	(58.28, 57.43, 57.34, 55.62)	
RAND      	(61.52, 54.40, 69.13, 58.71)	(84.63, 72.09, 87.55, 81.61)	(85.14, 72.63, 89.04, 82.24)	(81.65, 69.21, 84.85, 78.94)	(72.28, 61.43, 78.84, 69.35)	(85.14, 71.99, 88.83, 82.13)	(66.56, 60.11, 70.02, 54.57)	
MIX1      	(72.20, 77.63, 87.45, 71.28)	(89.49, 73.30, 91.03, 87.76)	(86.86, 83.60, 93.47, 84.61)	(82.55, 69.58, 85.02, 79.84)	(79.28, 70.24, 83.37, 77.23)	(88.67, 78.45, 91.95, 86.00)	(65.26, 62.20, 68.08, 53.85)	
MIX2      	(63.00, 56.52, 68.34, 64.07)	(87.00, 84.83, 93.55, 87.91)	(84.22, 83.89, 91.70, 84.15)	(77.62, 70.25, 80.09, 78.76)	(72.49, 68.73, 79.37, 72.72)	(87.23, 70.36, 89.52, 86.63)	(59.47, 60.17, 64.40, 54.33)	
CTRL      	(45.94, 46.50, 63.07, 15.56)	(64.04, 55.49, 75.60, 19.84)	(67.27, 59.10, 79.64, 20.93)	(63.82, 57.82, 79.35, 21.69)	(53.65, 52.01, 70.35, 16.42)	(63.84, 56.96, 76.16, 22.43)	(88.42, 72.54, 96.06, 54.43)	

# PPV
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
COD1      	(78.64, 65.42, 83.13, 76.93)	(41.86, 16.92, 47.40, 37.35)	(29.70, 14.94, 32.81, 25.86)	(26.10, 14.25, 29.56, 23.08)	(28.02, 22.43, 47.18, 25.94)	(33.61, 16.18, 38.43, 30.07)	(19.18, 12.41, 21.87, 14.91)	
COD2      	(17.97, 14.85, 20.91, 18.92)	(86.43, 75.25, 89.08, 88.02)	(29.04, 20.08, 34.05, 29.72)	(24.07, 19.03, 28.32, 26.23)	(21.37, 16.52, 25.57, 22.83)	(34.71, 29.31, 50.64, 35.72)	(15.34, 14.28, 17.23, 14.56)	
NCOD      	(16.81, 12.79, 17.61, 17.50)	(33.18, 19.01, 35.37, 35.06)	(84.49, 70.46, 85.51, 86.11)	(28.03, 18.25, 30.08, 28.64)	(22.68, 19.81, 28.86, 23.65)	(36.39, 27.80, 51.14, 37.72)	(16.51, 14.15, 16.27, 15.30)	
RAND      	(17.13, 12.87, 19.57, 16.54)	(34.10, 19.44, 37.63, 30.80)	(35.17, 19.96, 40.99, 31.83)	(81.70, 69.25, 83.62, 80.00)	(22.42, 14.96, 26.34, 21.19)	(35.04, 19.49, 40.39, 31.56)	(19.67, 14.81, 20.51, 15.64)	
MIX1      	(21.83, 21.79, 37.41, 21.51)	(42.47, 18.92, 45.53, 39.14)	(37.45, 27.80, 53.77, 34.13)	(31.41, 17.42, 34.02, 28.67)	(79.05, 67.84, 81.96, 77.69)	(40.84, 22.55, 48.42, 36.15)	(18.70, 14.51, 19.48, 14.94)	
MIX2      	(17.98, 13.80, 19.67, 18.10)	(38.41, 31.46, 54.59, 39.64)	(34.24, 30.46, 48.61, 33.67)	(27.17, 19.41, 28.61, 27.79)	(22.90, 18.32, 27.46, 22.68)	(86.48, 70.29, 88.16, 85.68)	(17.08, 15.25, 18.31, 15.19)	
CTRL      	(13.11, 12.04, 15.86, 9.98)	(18.49, 14.12, 22.20, 10.46)	(20.17, 15.35, 25.73, 10.72)	(18.84, 15.16, 25.76, 10.96)	(15.06, 13.32, 19.13, 10.14)	(18.52, 14.63, 22.73, 10.84)	(87.89, 73.29, 94.79, 67.91)	

# NPV
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
COD1      	(80.10, 66.00, 77.98, 80.48)	(97.85, 95.26, 97.45, 97.91)	(97.62, 94.81, 97.21, 97.62)	(97.46, 94.52, 97.07, 97.45)	(97.59, 95.75, 97.43, 97.64)	(97.72, 95.10, 97.33, 97.76)	(97.05, 93.88, 96.73, 96.58)	
COD2      	(97.68, 96.07, 97.13, 97.01)	(85.45, 76.20, 81.16, 81.24)	(98.15, 96.70, 97.55, 97.50)	(97.96, 96.53, 97.37, 97.34)	(97.90, 96.33, 97.34, 97.26)	(98.26, 97.18, 97.76, 97.64)	(97.21, 95.72, 96.64, 96.19)	
NCOD      	(97.26, 94.87, 97.40, 97.05)	(98.01, 96.08, 98.09, 97.80)	(83.18, 70.77, 83.65, 81.73)	(97.83, 95.83, 97.92, 97.58)	(97.69, 96.12, 97.95, 97.47)	(98.05, 96.57, 98.22, 97.82)	(97.09, 95.07, 97.10, 96.56)	
RAND      	(97.22, 94.81, 96.91, 97.46)	(97.96, 96.03, 97.55, 98.16)	(97.95, 96.01, 97.56, 98.15)	(81.85, 69.30, 78.92, 83.36)	(97.61, 95.34, 97.27, 97.82)	(97.96, 96.00, 97.57, 98.16)	(97.35, 95.15, 96.87, 97.19)	
MIX1      	(97.37, 95.71, 97.53, 97.48)	(97.87, 95.47, 97.63, 97.94)	(97.78, 95.95, 97.66, 97.84)	(97.63, 95.10, 97.39, 97.68)	(80.15, 66.70, 78.91, 80.63)	(97.83, 95.72, 97.63, 97.89)	(97.02, 94.55, 96.76, 96.60)	
MIX2      	(97.52, 95.36, 97.21, 97.31)	(98.19, 96.86, 97.95, 98.03)	(98.11, 96.78, 97.88, 97.91)	(97.92, 96.12, 97.54, 97.74)	(97.82, 96.12, 97.57, 97.61)	(84.38, 71.74, 81.92, 82.93)	(97.30, 95.50, 96.96, 96.75)	
CTRL      	(96.73, 95.11, 95.82, 97.82)	(97.63, 95.87, 96.49, 98.28)	(97.71, 96.06, 96.62, 98.35)	(97.55, 95.91, 96.55, 98.38)	(97.16, 95.57, 96.21, 97.92)	(97.61, 95.94, 96.49, 98.47)	(84.67, 74.65, 77.23, 93.84)	

