##### Sequence Predictions #####
# Format = (NB,DT,SVM)
# Rows are the training sets and columns are the testing sets

# Correct Rate
TRAIN\TEST	COD1              	COD2              	NCOD              	RAND              	MIX1              	MIX2              	CTRL
COD1      	(84.17, 87.26, 91.54)	(30.60, 25.92, 43.83)	(28.48, 25.44, 42.77)	(32.52, 25.09, 40.55)	(56.86, 60.72, 70.56)	(29.72, 26.42, 46.09)	(29.72, 24.00, 36.67)	
COD2      	(57.96, 60.39, 55.98)	(67.91, 67.08, 84.16)	(67.90, 66.71, 79.02)	(68.24, 64.32, 76.29)	(63.61, 63.03, 66.18)	(70.24, 78.09, 87.53)	(69.87, 63.79, 71.89)	
NCOD      	(57.29, 59.17, 53.79)	(68.90, 66.47, 78.95)	(67.98, 64.65, 83.07)	(68.37, 63.64, 74.22)	(64.30, 73.71, 74.68)	(69.59, 77.78, 88.03)	(69.39, 62.74, 70.73)	
RAND      	(59.61, 60.99, 51.94)	(69.72, 67.04, 77.12)	(68.75, 66.60, 75.26)	(68.26, 65.79, 81.42)	(64.42, 64.02, 61.33)	(69.78, 66.07, 76.29)	(69.27, 65.54, 68.25)	
MIX1      	(86.59, 91.16, 94.76)	(57.83, 54.80, 69.58)	(57.67, 70.61, 82.98)	(58.86, 53.03, 66.11)	(69.10, 70.33, 83.50)	(58.80, 62.32, 76.95)	(59.94, 51.32, 61.25)	
MIX2      	(59.61, 60.33, 57.98)	(70.15, 78.10, 87.87)	(69.83, 77.98, 87.94)	(68.32, 64.18, 75.08)	(65.61, 68.48, 72.13)	(68.26, 65.83, 83.43)	(69.89, 64.35, 71.08)	
CTRL      	(57.23, 57.74, 51.95)	(68.08, 64.58, 75.42)	(68.11, 64.62, 76.21)	(68.69, 64.35, 73.38)	(63.41, 61.41, 62.45)	(68.21, 65.16, 75.85)	(68.66, 65.67, 79.59)	

# Sensitivity
TRAIN\TEST	COD1              	COD2              	NCOD              	RAND              	MIX1              	MIX2              	CTRL
COD1      	(80.07, 86.93, 88.68)	(80.07, 86.93, 88.68)	(80.07, 86.93, 88.68)	(80.07, 86.93, 88.68)	(80.07, 86.93, 88.68)	(80.07, 86.93, 88.68)	(80.07, 86.93, 88.68)	
COD2      	(66.42, 66.72, 88.15)	(66.42, 66.72, 88.15)	(66.42, 66.72, 88.15)	(66.42, 66.72, 88.15)	(66.42, 66.72, 88.15)	(66.42, 66.72, 88.15)	(66.42, 66.72, 88.15)	
NCOD      	(67.77, 65.14, 89.06)	(67.77, 65.14, 89.06)	(67.77, 65.14, 89.06)	(67.77, 65.14, 89.06)	(67.77, 65.14, 89.06)	(67.77, 65.14, 89.06)	(67.77, 65.14, 89.06)	
RAND      	(67.52, 66.56, 90.90)	(67.52, 66.56, 90.90)	(67.52, 66.56, 90.90)	(67.52, 66.56, 90.90)	(67.52, 66.56, 90.90)	(67.52, 66.56, 90.90)	(67.52, 66.56, 90.90)	
