##### Sequence Predictions #####
# Format = (NB,DT,SVM)
# Rows are the training sets and columns are the testing sets

# Correct Rate
TRAIN\TEST	COD1              	COD2              	NCOD              	RAND              	MIX1              	MIX2              	CTRL
MIX1      	(68.58, 69.47, 88.98)	(68.58, 69.47, 88.98)	(68.58, 69.47, 88.98)	(68.58, 69.47, 88.98)	(68.58, 69.47, 88.98)	(68.58, 69.47, 88.98)	(68.58, 69.47, 88.98)	
MIX2      	(66.91, 65.55, 89.03)	(66.91, 65.55, 89.03)	(66.91, 65.55, 89.03)	(66.91, 65.55, 89.03)	(66.91, 65.55, 89.03)	(66.91, 65.55, 89.03)	(66.91, 65.55, 89.03)	
CTRL      	(67.55, 65.87, 89.79)	(67.55, 65.87, 89.79)	(67.55, 65.87, 89.79)	(67.55, 65.87, 89.79)	(67.55, 65.87, 89.79)	(67.55, 65.87, 89.79)	(67.55, 65.87, 89.79)	

# Specificity
TRAIN\TEST	COD1              	COD2              	NCOD              	RAND              	MIX1              	MIX2              	CTRL
COD1      	(88.15, 87.58, 94.31)	(25.79, 19.99, 39.47)	(23.40, 19.39, 38.25)	(27.76, 18.91, 35.74)	(54.59, 58.16, 68.79)	(24.79, 20.50, 41.92)	(24.69, 17.71, 31.47)	
COD2      	(57.13, 59.78, 52.85)	(69.37, 67.43, 80.28)	(68.05, 66.71, 78.12)	(68.42, 64.08, 75.10)	(63.33, 62.67, 64.03)	(70.61, 79.21, 87.47)	(70.21, 63.50, 70.27)	
NCOD      	(56.27, 58.59, 50.36)	(69.01, 66.59, 77.97)	(68.19, 64.18, 77.18)	(68.43, 63.49, 72.73)	(63.97, 74.55, 73.27)	(69.77, 79.01, 87.93)	(69.55, 62.50, 68.89)	
RAND      	(58.84, 60.45, 48.15)	(69.94, 67.09, 75.78)	(68.87, 66.60, 73.73)	(68.99, 65.01, 71.95)	(64.12, 63.77, 58.44)	(70.00, 66.02, 74.86)	(69.44, 65.44, 65.99)	
MIX1      	(88.34, 93.27, 95.32)	(56.78, 53.38, 67.69)	(56.60, 70.72, 82.39)	(57.89, 51.39, 63.82)	(69.61, 71.17, 78.13)	(57.85, 61.62, 75.77)	(59.07, 49.50, 58.48)	
MIX2      	(58.90, 59.83, 54.96)	(70.46, 79.32, 87.75)	(70.12, 79.20, 87.84)	(68.46, 64.05, 73.68)	(65.48, 68.77, 70.48)	(69.59, 66.11, 77.95)	(70.18, 64.23, 69.28)	
CTRL      	(56.23, 56.95, 48.28)	(68.13, 64.46, 74.03)	(68.17, 64.49, 74.87)	(68.80, 64.19, 71.74)	(63.00, 60.97, 59.78)	(68.28, 65.09, 74.48)	(69.77, 65.47, 69.40)	

# PPV
TRAIN\TEST	COD1              	COD2              	NCOD              	RAND              	MIX1              	MIX2              	CTRL
COD1      	(86.77, 87.18, 93.80)	(9.49, 9.55, 12.46)	(9.33, 9.60, 12.38)	(9.98, 9.68, 12.13)	(14.71, 16.89, 21.75)	(9.43, 9.66, 13.00)	(9.61, 9.55, 11.46)	
COD2      	(13.08, 13.88, 15.37)	(67.80, 66.55, 81.28)	(16.98, 16.48, 28.40)	(17.38, 15.67, 26.15)	(15.05, 14.88, 19.34)	(18.11, 23.89, 40.77)	(18.23, 15.45, 22.87)	
NCOD      	(13.08, 13.25, 14.84)	(17.52, 15.92, 28.19)	(67.71, 64.16, 79.34)	(17.67, 15.14, 24.62)	(15.54, 20.02, 24.58)	(17.98, 23.29, 41.92)	(18.21, 14.80, 22.26)	
RAND      	(13.74, 14.05, 14.55)	(17.91, 16.42, 26.71)	(17.59, 16.40, 25.40)	(68.53, 65.55, 76.42)	(15.55, 15.24, 17.63)	(18.04, 16.08, 26.13)	(18.10, 16.15, 21.09)	
MIX1      	(36.36, 50.07, 64.88)	(13.36, 12.64, 21.10)	(13.46, 18.93, 33.21)	(14.00, 12.50, 19.74)	(68.83, 70.21, 79.92)	(13.73, 15.04, 26.43)	(14.35, 12.09, 17.65)	
MIX2      	(13.65, 13.68, 16.11)	(18.03, 23.54, 41.39)	(18.06, 23.68, 41.87)	(17.50, 15.42, 25.28)	(15.94, 17.04, 22.78)	(68.28, 65.43, 79.80)	(18.33, 15.49, 22.47)	
CTRL      	(13.03, 12.94, 14.43)	(17.07, 15.25, 25.14)	(17.28, 15.44, 26.02)	(17.80, 15.54, 24.11)	(15.16, 14.17, 17.93)	(17.24, 15.58, 25.61)	(69.08, 65.61, 74.58)	

# NPV
TRAIN\TEST	COD1              	COD2              	NCOD              	RAND              	MIX1              	MIX2              	CTRL
COD1      	(82.00, 87.34, 89.56)	(93.02, 94.03, 97.29)	(92.27, 93.78, 97.17)	(93.30, 93.54, 96.93)	(96.55, 97.85, 98.42)	(92.71, 94.13, 97.43)	(92.53, 93.13, 96.53)	
COD2      	(94.60, 94.87, 97.87)	(68.02, 67.60, 87.46)	(95.37, 95.32, 98.53)	(95.32, 95.06, 98.45)	(95.07, 95.06, 98.22)	(95.55, 96.05, 98.69)	(95.44, 95.02, 98.34)	
NCOD      	(94.73, 94.54, 97.93)	(95.66, 95.16, 98.66)	(68.25, 65.16, 87.76)	(95.50, 94.79, 98.52)	(95.30, 95.62, 98.56)	(95.68, 95.86, 98.80)	(95.57, 94.72, 98.44)	
RAND      	(94.91, 94.90, 98.20)	(95.68, 95.38, 98.85)	(95.56, 95.29, 98.80)	(67.99, 66.04, 88.77)	(95.28, 95.12, 98.50)	(95.66, 95.28, 98.82)	(95.53, 95.14, 98.64)	
MIX1      	(96.66, 96.92, 98.89)	(94.90, 94.74, 98.44)	(94.82, 95.92, 98.70)	(94.85, 94.39, 98.30)	(69.37, 70.44, 87.87)	(94.95, 95.38, 98.60)	(94.95, 94.19, 98.15)	
MIX2      	(94.83, 94.70, 98.10)	(95.64, 95.95, 98.80)	(95.56, 95.90, 98.79)	(95.39, 94.90, 98.53)	(95.29, 95.33, 98.50)	(68.25, 66.24, 87.90)	(95.50, 94.91, 98.44)	
CTRL      	(94.69, 94.50, 97.99)	(95.58, 95.11, 98.68)	(95.52, 95.05, 98.68)	(95.50, 94.95, 98.60)	(95.20, 94.81, 98.36)	(95.56, 95.12, 98.68)	(68.25, 65.74, 87.18)	

