Databases (in order): pos cod1 cod2 ncod rand mix1 mix2 ctrl

21.81	2.13	2.77	2.67	2.48	2.26	2.67	2.55	
2.13	21.87	1.62	1.78	1.71	1.0	1.65	2.43	
2.77	1.62	21.9	1.42	1.55	1.36	0.89	2.75	
2.67	1.78	1.42	21.93	1.17	1.09	0.93	2.56	
2.48	1.71	1.55	1.17	21.92	1.31	1.3	2.38	
2.26	1.0	1.36	1.09	1.31	21.9	1.16	2.42	
2.67	1.65	0.89	0.93	1.3	1.16	21.95	2.59	
2.55	2.43	2.75	2.56	2.38	2.42	2.59	22.39	
